language,structure,dataset,n,repeat,operation,time_ns,hits,checksum
cpp,array,dataset_10000.txt,10000,0,insert,3000,50,49509981
cpp,array,dataset_10000.txt,10000,0,search,254542,50,49509981
cpp,array,dataset_10000.txt,10000,0,delete,189750,50,49509981
cpp,array,dataset_10000.txt,10000,0,traverse,459,50,49509981
cpp,array,dataset_10000.txt,10000,1,insert,2667,50,49509981
cpp,array,dataset_10000.txt,10000,1,search,254917,50,49509981
cpp,array,dataset_10000.txt,10000,1,delete,189666,50,49509981
cpp,array,dataset_10000.txt,10000,1,traverse,417,50,49509981
cpp,array,dataset_10000.txt,10000,2,insert,2583,50,49509981
cpp,array,dataset_10000.txt,10000,2,search,255833,50,49509981
cpp,array,dataset_10000.txt,10000,2,delete,190125,50,49509981
cpp,array,dataset_10000.txt,10000,2,traverse,417,50,49509981
cpp,array,dataset_10000.txt,10000,3,insert,2583,50,49509981
cpp,array,dataset_10000.txt,10000,3,search,261167,50,49509981
cpp,array,dataset_10000.txt,10000,3,delete,189625,50,49509981
cpp,array,dataset_10000.txt,10000,3,traverse,417,50,49509981
cpp,array,dataset_10000.txt,10000,4,insert,2625,50,49509981
cpp,array,dataset_10000.txt,10000,4,search,249250,50,49509981
cpp,array,dataset_10000.txt,10000,4,delete,182709,50,49509981
cpp,array,dataset_10000.txt,10000,4,traverse,375,50,49509981
cpp,array,dataset_10000.txt,10000,5,insert,2500,50,49509981
cpp,array,dataset_10000.txt,10000,5,search,245166,50,49509981
cpp,array,dataset_10000.txt,10000,5,delete,182875,50,49509981
cpp,array,dataset_10000.txt,10000,5,traverse,375,50,49509981
cpp,array,dataset_10000.txt,10000,6,insert,2500,50,49509981
cpp,array,dataset_10000.txt,10000,6,search,245459,50,49509981
cpp,array,dataset_10000.txt,10000,6,delete,183125,50,49509981
cpp,array,dataset_10000.txt,10000,6,traverse,375,50,49509981
cpp,array,dataset_10000.txt,10000,7,insert,2542,50,49509981
cpp,array,dataset_10000.txt,10000,7,search,245417,50,49509981
cpp,array,dataset_10000.txt,10000,7,delete,193291,50,49509981
cpp,array,dataset_10000.txt,10000,7,traverse,417,50,49509981
cpp,array,dataset_10000.txt,10000,8,insert,2750,50,49509981
cpp,array,dataset_10000.txt,10000,8,search,254834,50,49509981
cpp,array,dataset_10000.txt,10000,8,delete,191000,50,49509981
cpp,array,dataset_10000.txt,10000,8,traverse,416,50,49509981
cpp,array,dataset_10000.txt,10000,9,insert,2583,50,49509981
cpp,array,dataset_10000.txt,10000,9,search,254625,50,49509981
cpp,array,dataset_10000.txt,10000,9,delete,189916,50,49509981
cpp,array,dataset_10000.txt,10000,9,traverse,417,50,49509981
cpp,array,dataset_1000.txt,1000,0,insert,208,5,494272
cpp,array,dataset_1000.txt,1000,0,search,2917,5,494272
cpp,array,dataset_1000.txt,1000,0,delete,2416,5,494272
cpp,array,dataset_1000.txt,1000,0,traverse,83,5,494272
cpp,array,dataset_1000.txt,1000,1,insert,83,5,494272
cpp,array,dataset_1000.txt,1000,1,search,2791,5,494272
cpp,array,dataset_1000.txt,1000,1,delete,2417,5,494272
cpp,array,dataset_1000.txt,1000,1,traverse,83,5,494272
cpp,array,dataset_1000.txt,1000,2,insert,83,5,494272
