language,structure,dataset,n,repeat,insert_ns,search_ns,delete_ns,traverse_ns,hits,checksum
cpp,array,dataset_10000.txt,10000,0,3000,254542,189750,459,50,49509981
cpp,array,dataset_10000.txt,10000,1,2667,254917,189666,417,50,49509981
cpp,array,dataset_10000.txt,10000,2,2583,255833,190125,417,50,49509981
cpp,array,dataset_10000.txt,10000,3,2583,261167,189625,417,50,49509981
cpp,array,dataset_10000.txt,10000,4,2625,249250,182709,375,50,49509981
cpp,array,dataset_10000.txt,10000,5,2500,245166,182875,375,50,49509981
cpp,array,dataset_10000.txt,10000,6,2500,245459,183125,375,50,49509981
cpp,array,dataset_10000.txt,10000,7,2542,245417,193291,417,50,49509981
cpp,array,dataset_10000.txt,10000,8,2750,254834,191000,416,50,49509981
cpp,array,dataset_10000.txt,10000,9,2583,254625,189916,417,50,49509981
cpp,array,dataset_1000.txt,1000,0,208,2917,2416,83,5,494272
cpp,array,dataset_1000.txt,1000,1,83,2791,2417,83,5,494272
cpp,array,dataset_1000.txt,1000,2,83,2792,2417,42,5,494272
cpp,array,dataset_1000.txt,1000,3,83,2833,2417,42,5,494272
cpp,array,dataset_1000.txt,1000,4,42,2791,2417,41,5,494272
cpp,array,dataset_1000.txt,1000,5,83,2792,2375,42,5,494272
cpp,array,dataset_1000.txt,1000,6,42,2791,2417,83,5,494272
cpp,array,dataset_1000.txt,1000,7,83,2875,2417,41,5,494272
cpp,array,dataset_1000.txt,1000,8,83,2792,2375,42,5,494272
cpp,array,dataset_1000.txt,1000,9,83,2792,2417,42,5,494272
cpp,linked,dataset_5000.txt,5000,0,48833,244000,169791,6542,25,12368708
cpp,linked,dataset_5000.txt,5000,1,43125,257833,186875,7833,25,12368708
cpp,linked,dataset_5000.txt,5000,2,41292,267791,190834,8500,25,12368708
cpp,linked,dataset_5000.txt,5000,3,42708,262792,168333,6583,25,12368708
cpp,linked,dataset_5000.txt,5000,4,41542,280541,182125,7791,25,12368708
cpp,linked,dataset_5000.txt,5000,5,43542,240375,169083,6209,25,12368708
cpp,linked,dataset_5000.txt,5000,6,41208,235958,165375,6042,25,12368708
cpp,linked,dataset_5000.txt,5000,7,41459,289459,184167,7833,25,12368708
cpp,linked,dataset_5000.txt,5000,8,42542,280208,184791,7709,25,12368708
cpp,linked,dataset_5000.txt,5000,9,49583,262459,176375,7750,25,12368708
python,array,dataset_25000.txt,25000,0,31167,16212625,16200834,86000,125,309399781
python,array,dataset_25000.txt,25000,1,29625,16424625,16223500,89458,125,309399781
python,array,dataset_25000.txt,25000,2,31250,17274917,17274709,89500,125,309399781
python,array,dataset_25000.txt,25000,3,31542,16858417,16836958,87000,125,309399781
python,array,dataset_25000.txt,25000,4,30250,16191292,16564583,87167,125,309399781
python,array,dataset_25000.txt,25000,5,38583,16575875,16319458,88500,125,309399781
python,array,dataset_25000.txt,25000,6,32958,16352542,16539209,91292,125,309399781
python,array,dataset_25000.txt,25000,7,28750,16212500,16333834,85916,125,309399781
python,array,dataset_25000.txt,25000,8,28583,16509541,16467834,89500,125,309399781
python,array,dataset_25000.txt,25000,9,35458,16211500,16312209,86958,125,309399781
cpp,linked,dataset_25000.txt,25000,0,218959,6103500,3742584,29459,125,309399781
