language,structure,dataset,n,repeat,insert_ns,search_ns,delete_ns,traverse_ns,hits,checksum
cpp,array,dataset_25000.txt,25000,0,6834,1425416,1071542,958,125,309399781
cpp,array,dataset_25000.txt,25000,1,5959,1422083,1071667,916,125,309399781
cpp,array,dataset_25000.txt,25000,2,5917,1425125,1068500,958,125,309399781
cpp,array,dataset_25000.txt,25000,3,9208,1443333,1071584,958,125,309399781
cpp,array,dataset_25000.txt,25000,4,6291,1428500,1068583,959,125,309399781
cpp,array,dataset_25000.txt,25000,5,7584,1425041,1068500,917,125,309399781
cpp,array,dataset_25000.txt,25000,6,7625,1424333,1071667,958,125,309399781
cpp,array,dataset_25000.txt,25000,7,6083,1425083,1071875,916,125,309399781
cpp,array,dataset_25000.txt,25000,8,5958,1435958,1109417,958,125,309399781
cpp,array,dataset_25000.txt,25000,9,7625,1447083,1101375,958,125,309399781
