language,structure,dataset,n,operation,repeat,batch_size,elapsed_ns,per_op_ns,hits,checksum
cpp,array,dataset_1000.txt,1000,traverse,0,32768,1944708,59,0,494272
cpp,array,dataset_1000.txt,1000,traverse,1,32768,1814209,55,0,494272
cpp,array,dataset_1000.txt,1000,traverse,2,32768,1675208,51,0,494272
cpp,array,dataset_1000.txt,1000,traverse,3,32768,1580834,48,0,494272
cpp,array,dataset_1000.txt,1000,traverse,4,32768,1611083,49,0,494272
cpp,array,dataset_1000.txt,1000,traverse,5,32768,1519791,46,0,494272
cpp,array,dataset_1000.txt,1000,traverse,6,32768,1455875,44,0,494272
cpp,array,dataset_1000.txt,1000,traverse,7,32768,1398667,42,0,494272
cpp,array,dataset_1000.txt,1000,traverse,8,32768,1390250,42,0,494272
cpp,array,dataset_1000.txt,1000,traverse,9,32768,1350709,41,0,494272
cpp,array,dataset_5000.txt,5000,traverse,0,8192,1534166,187,0,12368708
cpp,array,dataset_5000.txt,5000,traverse,1,8192,1550084,189,0,12368708
cpp,array,dataset_5000.txt,5000,traverse,2,8192,1564584,190,0,12368708
cpp,array,dataset_5000.txt,5000,traverse,3,8192,1592750,194,0,12368708
cpp,array,dataset_5000.txt,5000,traverse,4,8192,1571708,191,0,12368708
cpp,array,dataset_5000.txt,5000,traverse,5,8192,1561959,190,0,12368708
cpp,array,dataset_5000.txt,5000,traverse,6,8192,1574792,192,0,12368708
cpp,array,dataset_5000.txt,5000,traverse,7,8192,1554208,189,0,12368708
cpp,array,dataset_5000.txt,5000,traverse,8,8192,1592917,194,0,12368708
cpp,array,dataset_5000.txt,5000,traverse,9,8192,1583125,193,0,12368708
cpp,array,dataset_10000.txt,10000,traverse,0,4096,1546750,377,0,49509981
cpp,array,dataset_10000.txt,10000,traverse,1,4096,1528333,373,0,49509981
cpp,array,dataset_10000.txt,10000,traverse,2,4096,1571541,383,0,49509981
cpp,array,dataset_10000.txt,10000,traverse,3,4096,1591125,388,0,49509981
cpp,array,dataset_10000.txt,10000,traverse,4,4096,1570583,383,0,49509981
cpp,array,dataset_10000.txt,10000,traverse,5,4096,1549708,378,0,49509981
cpp,array,dataset_10000.txt,10000,traverse,6,4096,1545917,377,0,49509981
cpp,array,dataset_10000.txt,10000,traverse,7,4096,1560250,380,0,49509981
cpp,array,dataset_10000.txt,10000,traverse,8,4096,1547958,377,0,49509981
cpp,array,dataset_10000.txt,10000,traverse,9,4096,1531167,373,0,49509981
cpp,array,dataset_25000.txt,25000,traverse,0,2048,1955666,954,0,309399781
cpp,array,dataset_25000.txt,25000,traverse,1,2048,1905708,930,0,309399781
cpp,array,dataset_25000.txt,25000,traverse,2,2048,1919167,937,0,309399781
cpp,array,dataset_25000.txt,25000,traverse,3,2048,1961167,957,0,309399781
cpp,array,dataset_25000.txt,25000,traverse,4,2048,1930667,942,0,309399781
cpp,array,dataset_25000.txt,25000,traverse,5,2048,1846708,901,0,309399781
cpp,array,dataset_25000.txt,25000,traverse,6,2048,1923125,939,0,309399781
cpp,array,dataset_25000.txt,25000,traverse,7,2048,1905417,930,0,309399781
cpp,array,dataset_25000.txt,25000,traverse,8,2048,1919708,937,0,309399781
cpp,array,dataset_25000.txt,25000,traverse,9,2048,1898917,927,0,309399781
cpp,hash,dataset_1000.txt,1000,search,0,65536,1079417,16,5,0
cpp,hash,dataset_1000.txt,1000,search,1,65536,1045250,15,5,0
cpp,hash,dataset_1000.txt,1000,search,2,65536,1070250,16,5,0
cpp,hash,dataset_1000.txt,1000,search,3,65536,1056708,16,5,0
cpp,hash,dataset_1000.txt,1000,search,4,65536,1037125,15,5,0
cpp,hash,dataset_1000.txt,1000,search,5,65536,1046750,15,5,0
cpp,hash,dataset_1000.txt,1000,search,6,65536,1064292,16,5,0
cpp,hash,dataset_1000.txt,1000,search,7,65536,1060000,16,5,0
cpp,hash,dataset_1000.txt,1000,search,8,65536,1058708,16,5,0
cpp,hash,dataset_1000.txt,1000,search,9,65536,1063125,16,5,0
cpp,hash,dataset_5000.txt,5000,search,0,8192,1087792,132,25,0
cpp,hash,dataset_5000.txt,5000,search,1,8192,1100250,134,25,0
cpp,hash,dataset_5000.txt,5000,search,2,8192,1118292,136,25,0
cpp,hash,dataset_5000.txt,5000,search,3,8192,1071500,130,25,0
cpp,hash,dataset_5000.txt,5000,search,4,8192,1067875,130,25,0
cpp,hash,dataset_5000.txt,5000,search,5,8192,1075083,131,25,0
cpp,hash,dataset_5000.txt,5000,search,6,8192,1119167,136,25,0
cpp,hash,dataset_5000.txt,5000,search,7,8192,1090958,133,25,0
cpp,hash,dataset_5000.txt,5000,search,8,8192,1111375,135,25,0
cpp,hash,dataset_5000.txt,5000,search,9,8192,1143416,139,25,0
cpp,hash,dataset_10000.txt,10000,search,0,4096,1088167,265,50,0
cpp,hash,dataset_10000.txt,10000,search,1,4096,1069542,261,50,0
cpp,hash,dataset_10000.txt,10000,search,2,4096,1099875,268,50,0
cpp,hash,dataset_10000.txt,10000,search,3,4096,1084459,264,50,0
cpp,hash,dataset_10000.txt,10000,search,4,4096,1116083,272,50,0
cpp,hash,dataset_10000.txt,10000,search,5,4096,1092792,266,50,0
cpp,hash,dataset_10000.txt,10000,search,6,4096,1100666,268,50,0
cpp,hash,dataset_10000.txt,10000,search,7,4096,1095834,267,50,0
cpp,hash,dataset_10000.txt,10000,search,8,4096,1077958,263,50,0
cpp,hash,dataset_10000.txt,10000,search,9,4096,1088084,265,50,0
cpp,hash,dataset_25000.txt,25000,search,0,2048,1391750,679,125,0
cpp,hash,dataset_25000.txt,25000,search,1,2048,1434208,700,125,0
cpp,hash,dataset_25000.txt,25000,search,2,2048,1410208,688,125,0
cpp,hash,dataset_25000.txt,25000,search,3,2048,1409708,688,125,0
cpp,hash,dataset_25000.txt,25000,search,4,2048,1394000,680,125,0
cpp,hash,dataset_25000.txt,25000,search,5,2048,1408042,687,125,0
cpp,hash,dataset_25000.txt,25000,search,6,2048,1436333,701,125,0
cpp,hash,dataset_25000.txt,25000,search,7,2048,1388417,677,125,0
cpp,hash,dataset_25000.txt,25000,search,8,2048,1427334,696,125,0
cpp,hash,dataset_25000.txt,25000,search,9,2048,1430459,698,125,0
