language,structure,dataset,n,repeat,insert_ns,search_ns,delete_ns,traverse_ns,hits,checksum
cpp,hash,dataset_25000.txt,25000,0,283083,792,4959,30209,125,309399781
cpp,hash,dataset_25000.txt,25000,1,273208,708,4959,29625,125,309399781
cpp,hash,dataset_25000.txt,25000,2,273500,708,4959,29083,125,309399781
cpp,hash,dataset_25000.txt,25000,3,279959,708,4875,29666,125,309399781
cpp,hash,dataset_25000.txt,25000,4,274500,708,4917,28750,125,309399781
cpp,hash,dataset_25000.txt,25000,5,275916,709,4875,29500,125,309399781
cpp,hash,dataset_25000.txt,25000,6,297084,708,4875,29500,125,309399781
cpp,hash,dataset_25000.txt,25000,7,284291,709,4916,29500,125,309399781
cpp,hash,dataset_25000.txt,25000,8,275625,709,4875,29167,125,309399781
cpp,hash,dataset_25000.txt,25000,9,286000,708,4875,29333,125,309399781
