language,structure,dataset,n,repeat,insert_ns,search_ns,delete_ns,traverse_ns,hits,checksum
cpp,linked,dataset_25000.txt,25000,0,218959,6103500,3742584,29459,125,309399781
cpp,linked,dataset_25000.txt,25000,1,207792,5880750,3733792,29750,125,309399781
cpp,linked,dataset_25000.txt,25000,2,227708,5736000,3816500,29084,125,309399781
cpp,linked,dataset_25000.txt,25000,3,257125,5868959,3742166,29292,125,309399781
cpp,linked,dataset_25000.txt,25000,4,224833,5666584,3664459,28958,125,309399781
cpp,linked,dataset_25000.txt,25000,5,207583,5688292,3695708,29708,125,309399781
cpp,linked,dataset_25000.txt,25000,6,218958,5681917,3841416,32709,125,309399781
cpp,linked,dataset_25000.txt,25000,7,208833,5639625,3683209,29791,125,309399781
cpp,linked,dataset_25000.txt,25000,8,210500,6887500,3821875,32250,125,309399781
cpp,linked,dataset_25000.txt,25000,9,211459,5672166,3759250,30375,125,309399781
