language,structure,dataset,n,repeat,insert_ns,search_ns,delete_ns,traverse_ns,hits,checksum
cpp,linked_fwd,dataset_1000.txt,1000,0,22500,14833,12625,1750,5,494272
cpp,linked_fwd,dataset_1000.txt,1000,1,22500,14916,12584,1709,5,494272
cpp,linked_fwd,dataset_1000.txt,1000,2,22458,14625,12541,1792,5,494272
cpp,linked_fwd,dataset_1000.txt,1000,3,22416,14709,12542,1917,5,494272
cpp,linked_fwd,dataset_1000.txt,1000,4,22458,14833,12500,1750,5,494272
cpp,linked_fwd,dataset_1000.txt,1000,5,22375,14834,12583,1750,5,494272
cpp,linked_fwd,dataset_1000.txt,1000,6,22375,14917,12500,1791,5,494272
cpp,linked_fwd,dataset_1000.txt,1000,7,22375,14875,12541,1792,5,494272
cpp,linked_fwd,dataset_1000.txt,1000,8,22458,14750,12458,1792,5,494272
cpp,linked_fwd,dataset_1000.txt,1000,9,22375,14916,12542,1750,5,494272
cpp,linked_fwd,dataset_5000.txt,5000,0,99583,280583,237625,7709,25,12368708
cpp,linked_fwd,dataset_5000.txt,5000,1,99458,290167,238125,7750,25,12368708
cpp,linked_fwd,dataset_5000.txt,5000,2,100000,283000,240708,7625,25,12368708
cpp,linked_fwd,dataset_5000.txt,5000,3,102833,266375,239833,6875,25,12368708
cpp,linked_fwd,dataset_5000.txt,5000,4,89167,252458,211917,6750,25,12368708
cpp,linked_fwd,dataset_5000.txt,5000,5,89000,239959,244875,7000,25,12368708
cpp,linked_fwd,dataset_5000.txt,5000,6,89791,271667,226416,6833,25,12368708
cpp,linked_fwd,dataset_5000.txt,5000,7,88709,238833,211583,6708,25,12368708
cpp,linked_fwd,dataset_5000.txt,5000,8,88583,258833,211625,7000,25,12368708
cpp,linked_fwd,dataset_5000.txt,5000,9,88625,266417,211750,6792,25,12368708
cpp,linked_fwd,dataset_10000.txt,10000,0,152625,994625,682834,12291,50,49509981
cpp,linked_fwd,dataset_10000.txt,10000,1,152583,1000625,687542,12375,50,49509981
cpp,linked_fwd,dataset_10000.txt,10000,2,153083,954291,616833,11417,50,49509981
cpp,linked_fwd,dataset_10000.txt,10000,3,143750,946167,640208,11708,50,49509981
cpp,linked_fwd,dataset_10000.txt,10000,4,151292,971458,620667,11458,50,49509981
cpp,linked_fwd,dataset_10000.txt,10000,5,143583,952167,614875,11541,50,49509981
cpp,linked_fwd,dataset_10000.txt,10000,6,143667,940833,593875,11333,50,49509981
cpp,linked_fwd,dataset_10000.txt,10000,7,138292,918958,590209,10834,50,49509981
cpp,linked_fwd,dataset_10000.txt,10000,8,137125,897041,584917,11167,50,49509981
cpp,linked_fwd,dataset_10000.txt,10000,9,136542,926500,584041,10375,50,49509981
cpp,linked_fwd,dataset_25000.txt,25000,0,283500,4674666,3113459,25583,125,309399781
cpp,linked_fwd,dataset_25000.txt,25000,1,280291,4782292,3505916,25125,125,309399781
cpp,linked_fwd,dataset_25000.txt,25000,2,296833,4772958,3246917,22833,125,309399781
cpp,linked_fwd,dataset_25000.txt,25000,3,279709,4605333,3115750,22500,125,309399781
cpp,linked_fwd,dataset_25000.txt,25000,4,280042,4856458,3310625,22791,125,309399781
cpp,linked_fwd,dataset_25000.txt,25000,5,280334,4551000,3177042,23375,125,309399781
cpp,linked_fwd,dataset_25000.txt,25000,6,279709,4664583,3151500,22792,125,309399781
cpp,linked_fwd,dataset_25000.txt,25000,7,280208,4436125,3217375,25292,125,309399781
cpp,linked_fwd,dataset_25000.txt,25000,8,279500,4803167,3725041,23750,125,309399781
cpp,linked_fwd,dataset_25000.txt,25000,9,279959,4571959,3250834,22417,125,309399781
