language,structure,dataset,n,repeat,insert_ns,search_ns,delete_ns,traverse_ns,hits,checksum
java,array,dataset_1000.txt,1000,0,38542,134417,107125,49833,5,494272
java,array,dataset_1000.txt,1000,1,36792,138875,118042,46208,5,494272
java,array,dataset_1000.txt,1000,2,57417,139000,166291,66791,5,494272
java,array,dataset_1000.txt,1000,3,43041,140375,116000,46167,5,494272
java,array,dataset_1000.txt,1000,4,37542,172125,115916,44750,5,494272
java,array,dataset_1000.txt,1000,5,31084,120584,112542,40750,5,494272
java,array,dataset_1000.txt,1000,6,31167,37916,118708,49042,5,494272
java,array,dataset_1000.txt,1000,7,30750,35125,107000,48458,5,494272
java,array,dataset_1000.txt,1000,8,31167,35083,35000,40334,5,494272
java,array,dataset_1000.txt,1000,9,30292,110375,32250,66875,5,494272
