language,structure,dataset,n,repeat,insert_ns,search_ns,delete_ns,traverse_ns,hits,checksum
java,array,dataset_1000.txt,1000,0,38542,134417,107125,49833,5,494272
java,array,dataset_1000.txt,1000,1,36792,138875,118042,46208,5,494272
java,array,dataset_1000.txt,1000,2,57417,139000,166291,66791,5,494272
java,array,dataset_1000.txt,1000,3,43041,140375,116000,46167,5,494272
java,array,dataset_1000.txt,1000,4,37542,172125,115916,44750,5,494272
java,array,dataset_1000.txt,1000,5,31084,120584,112542,40750,5,494272
java,array,dataset_1000.txt,1000,6,31167,37916,118708,49042,5,494272
java,array,dataset_1000.txt,1000,7,30750,35125,107000,48458,5,494272
java,array,dataset_1000.txt,1000,8,31167,35083,35000,40334,5,494272
java,array,dataset_1000.txt,1000,9,30292,110375,32250,66875,5,494272
java,linked,dataset_1000.txt,1000,0,37583,145667,113167,59625,5,494272
java,linked,dataset_1000.txt,1000,1,40042,154792,119292,44583,5,494272
java,linked,dataset_1000.txt,1000,2,39583,159500,121875,45042,5,494272
java,linked,dataset_1000.txt,1000,3,60042,163541,120917,50792,5,494272
java,linked,dataset_1000.txt,1000,4,42709,161875,126458,46375,5,494272
java,linked,dataset_1000.txt,1000,5,40250,100208,125458,45250,5,494272
java,linked,dataset_1000.txt,1000,6,34875,38000,124750,45291,5,494272
java,linked,dataset_1000.txt,1000,7,38625,34208,87916,40375,5,494272
java,linked,dataset_1000.txt,1000,8,37167,34000,31375,40833,5,494272
java,linked,dataset_1000.txt,1000,9,37166,40875,29375,41625,5,494272
java,hash,dataset_1000.txt,1000,0,77041,2041,2875,48958,5,494272
java,hash,dataset_1000.txt,1000,1,68500,2666,3333,63125,5,494272
java,hash,dataset_1000.txt,1000,2,147625,2916,3542,61166,5,494272
java,hash,dataset_1000.txt,1000,3,85250,2500,2625,59583,5,494272
java,hash,dataset_1000.txt,1000,4,80125,2042,2833,53458,5,494272
java,hash,dataset_1000.txt,1000,5,67084,1875,2875,54041,5,494272
java,hash,dataset_1000.txt,1000,6,69959,2125,2833,55000,5,494272
java,hash,dataset_1000.txt,1000,7,78833,2708,3375,54083,5,494272
java,hash,dataset_1000.txt,1000,8,72500,2042,2916,53250,5,494272
java,hash,dataset_1000.txt,1000,9,68291,2916,3875,53750,5,494272
java,array,dataset_5000.txt,5000,0,220166,93083,837125,196042,25,12368708
java,array,dataset_5000.txt,5000,1,152541,77375,80208,201958,25,12368708
java,array,dataset_5000.txt,5000,2,148292,79083,79416,201875,25,12368708
java,array,dataset_5000.txt,5000,3,150834,77083,79667,219292,25,12368708
java,array,dataset_5000.txt,5000,4,161708,73750,78875,212500,25,12368708
java,array,dataset_5000.txt,5000,5,107625,74959,80542,43792,25,12368708
java,array,dataset_5000.txt,5000,6,64917,70750,77375,46917,25,12368708
java,array,dataset_5000.txt,5000,7,79916,70917,76959,34750,25,12368708
java,array,dataset_5000.txt,5000,8,72959,70417,77000,48500,25,12368708
java,array,dataset_5000.txt,5000,9,68000,74042,80208,36417,25,12368708
java,linked,dataset_5000.txt,5000,0,157042,375709,300042,204041,25,12368708
java,linked,dataset_5000.txt,5000,1,158083,428792,313584,202500,25,12368708
java,linked,dataset_5000.txt,5000,2,157333,401583,351875,200709,25,12368708
java,linked,dataset_5000.txt,5000,3,158375,409167,313708,201416,25,12368708
java,linked,dataset_5000.txt,5000,4,77333,411583,313708,53292,25,12368708
java,linked,dataset_5000.txt,5000,5,76042,393500,294583,35334,25,12368708
java,linked,dataset_5000.txt,5000,6,71500,391417,308041,40625,25,12368708
java,linked,dataset_5000.txt,5000,7,73750,395750,307875,43042,25,12368708
java,linked,dataset_5000.txt,5000,8,61334,387791,297667,32542,25,12368708
java,linked,dataset_5000.txt,5000,9,61166,391375,296917,33500,25,12368708
java,hash,dataset_5000.txt,5000,0,323167,7375,17667,255875,25,12368708
java,hash,dataset_5000.txt,5000,1,301000,8916,12583,227292,25,12368708
java,hash,dataset_5000.txt,5000,2,270000,10083,16708,225791,25,12368708
java,hash,dataset_5000.txt,5000,3,247875,9125,9375,241917,25,12368708
java,hash,dataset_5000.txt,5000,4,249709,8375,3125,216500,25,12368708
java,hash,dataset_5000.txt,5000,5,1181583,9667,5500,62042,25,12368708
java,hash,dataset_5000.txt,5000,6,96833,1250,1542,50166,25,12368708
java,hash,dataset_5000.txt,5000,7,109125,1417,1666,53250,25,12368708
java,hash,dataset_5000.txt,5000,8,87833,1125,1417,46209,25,12368708
java,hash,dataset_5000.txt,5000,9,80291,1250,1458,46625,25,12368708
java,array,dataset_10000.txt,10000,0,318791,361458,286459,404000,50,49509981
java,array,dataset_10000.txt,10000,1,122541,352792,297334,74500,50,49509981
java,array,dataset_10000.txt,10000,2,141042,339500,287250,66541,50,49509981
java,array,dataset_10000.txt,10000,3,115958,335167,287666,63125,50,49509981
java,array,dataset_10000.txt,10000,4,112375,357375,453416,141000,50,49509981
java,array,dataset_10000.txt,10000,5,115834,346334,286875,63333,50,49509981
java,array,dataset_10000.txt,10000,6,111166,333292,289041,63000,50,49509981
java,array,dataset_10000.txt,10000,7,112209,331208,283458,62917,50,49509981
java,array,dataset_10000.txt,10000,8,858583,384416,292958,64083,50,49509981
java,array,dataset_10000.txt,10000,9,112500,337125,283958,62958,50,49509981
java,linked,dataset_10000.txt,10000,0,318125,1684667,1075958,412625,50,49509981
java,linked,dataset_10000.txt,10000,1,155458,1623667,1014584,82541,50,49509981
java,linked,dataset_10000.txt,10000,2,1124166,1699583,1116792,82375,50,49509981
java,linked,dataset_10000.txt,10000,3,106000,1778792,1043291,72833,50,49509981
java,linked,dataset_10000.txt,10000,4,93166,1618042,1022000,67708,50,49509981
java,linked,dataset_10000.txt,10000,5,92000,1620583,1025292,69334,50,49509981
java,linked,dataset_10000.txt,10000,6,144458,1610042,1007916,84333,50,49509981
java,linked,dataset_10000.txt,10000,7,72417,1616292,990000,26792,50,49509981
java,linked,dataset_10000.txt,10000,8,121958,1667750,1084917,20750,50,49509981
java,linked,dataset_10000.txt,10000,9,111166,1775250,1053292,23792,50,49509981
java,hash,dataset_10000.txt,10000,0,1291666,19167,30959,443209,50,49509981
java,hash,dataset_10000.txt,10000,1,191208,6208,37708,136292,50,49509981
java,hash,dataset_10000.txt,10000,2,161541,2667,15542,94500,50,49509981
java,hash,dataset_10000.txt,10000,3,719625,6500,19959,138958,50,49509981
java,hash,dataset_10000.txt,10000,4,140959,2416,9000,121500,50,49509981
java,hash,dataset_10000.txt,10000,5,138375,2083,3167,88375,50,49509981
java,hash,dataset_10000.txt,10000,6,143625,2125,3000,103667,50,49509981
java,hash,dataset_10000.txt,10000,7,663666,2834,3792,129625,50,49509981
java,hash,dataset_10000.txt,10000,8,192541,3542,3833,126208,50,49509981
java,hash,dataset_10000.txt,10000,9,188333,2959,4541,115500,50,49509981
java,array,dataset_25000.txt,25000,0,241708,2155750,1788833,119375,125,309399781
java,array,dataset_25000.txt,25000,1,245375,1970458,1710042,123666,125,309399781
java,array,dataset_25000.txt,25000,2,240833,1995542,1979334,110541,125,309399781
java,array,dataset_25000.txt,25000,3,240333,1977750,1750000,106833,125,309399781
java,array,dataset_25000.txt,25000,4,898041,2146250,1922666,106959,125,309399781
java,array,dataset_25000.txt,25000,5,243541,1968542,1727875,103500,125,309399781
java,array,dataset_25000.txt,25000,6,239334,2095583,1725458,103125,125,309399781
java,array,dataset_25000.txt,25000,7,52666,2192250,1696125,14958,125,309399781
java,array,dataset_25000.txt,25000,8,56875,2269292,1735958,14792,125,309399781
java,array,dataset_25000.txt,25000,9,61542,2249458,1698458,14750,125,309399781
java,linked,dataset_25000.txt,25000,0,426334,9382750,5862167,166958,125,309399781
java,linked,dataset_25000.txt,25000,1,241542,9534334,6296584,151500,125,309399781
java,linked,dataset_25000.txt,25000,2,89041,9220458,6063334,59459,125,309399781
java,linked,dataset_25000.txt,25000,3,1116500,9675625,6397959,49375,125,309399781
java,linked,dataset_25000.txt,25000,4,79458,9193959,6189166,47209,125,309399781
java,linked,dataset_25000.txt,25000,5,88875,9417417,6152500,59042,125,309399781
java,linked,dataset_25000.txt,25000,6,86208,9380333,6129625,48792,125,309399781
java,linked,dataset_25000.txt,25000,7,1062458,9128708,5894459,48084,125,309399781
java,linked,dataset_25000.txt,25000,8,86250,9393375,6019167,48125,125,309399781
java,linked,dataset_25000.txt,25000,9,86958,9359292,5969791,48333,125,309399781
java,hash,dataset_25000.txt,25000,0,555750,10417,18291,523750,125,309399781
java,hash,dataset_25000.txt,25000,1,644250,8708,16542,458833,125,309399781
java,hash,dataset_25000.txt,25000,2,601667,8416,14834,440834,125,309399781
java,hash,dataset_25000.txt,25000,3,531750,7791,14292,870542,125,309399781
java,hash,dataset_25000.txt,25000,4,881292,11917,19542,566125,125,309399781
java,hash,dataset_25000.txt,25000,5,868958,9959,14875,488917,125,309399781
java,hash,dataset_25000.txt,25000,6,466542,10916,14875,168250,125,309399781
java,hash,dataset_25000.txt,25000,7,481959,6541,9542,150625,125,309399781
java,hash,dataset_25000.txt,25000,8,310792,4500,7042,121958,125,309399781
java,hash,dataset_25000.txt,25000,9,247041,4417,6875,138208,125,309399781
