language,structure,dataset,n,repeat,insert_ns,search_ns,delete_ns,traverse_ns,hits,checksum
java,linked,dataset_1000.txt,1000,0,37583,145667,113167,59625,5,494272
java,linked,dataset_1000.txt,1000,1,40042,154792,119292,44583,5,494272
java,linked,dataset_1000.txt,1000,2,39583,159500,121875,45042,5,494272
java,linked,dataset_1000.txt,1000,3,60042,163541,120917,50792,5,494272
java,linked,dataset_1000.txt,1000,4,42709,161875,126458,46375,5,494272
java,linked,dataset_1000.txt,1000,5,40250,100208,125458,45250,5,494272
java,linked,dataset_1000.txt,1000,6,34875,38000,124750,45291,5,494272
java,linked,dataset_1000.txt,1000,7,38625,34208,87916,40375,5,494272
java,linked,dataset_1000.txt,1000,8,37167,34000,31375,40833,5,494272
java,linked,dataset_1000.txt,1000,9,37166,40875,29375,41625,5,494272
