language,structure,dataset,n,repeat,insert_ns,search_ns,delete_ns,traverse_ns,hits,checksum
python,hash,dataset_5000.txt,5000,0,114791,2416,1958,23791,25,12368708
python,hash,dataset_5000.txt,5000,1,101000,2125,1791,23542,25,12368708
python,hash,dataset_5000.txt,5000,2,103792,2000,1709,23792,25,12368708
python,hash,dataset_5000.txt,5000,3,99417,2000,1750,23792,25,12368708
python,hash,dataset_5000.txt,5000,4,99417,2000,1708,23625,25,12368708
python,hash,dataset_5000.txt,5000,5,102875,2042,1750,23792,25,12368708
python,hash,dataset_5000.txt,5000,6,109084,2041,1708,23875,25,12368708
python,hash,dataset_5000.txt,5000,7,99083,2000,1709,23333,25,12368708
python,hash,dataset_5000.txt,5000,8,100083,2041,1750,23791,25,12368708
python,hash,dataset_5000.txt,5000,9,106208,2000,1750,23958,25,12368708
