language,structure,dataset,n,repeat,insert_ns,search_ns,delete_ns,traverse_ns,hits,checksum
python,linked,dataset_25000.txt,25000,0,3456584,121925000,76165084,745250,125,309399781
python,linked,dataset_25000.txt,25000,1,3349584,131731917,77127208,723292,125,309399781
python,linked,dataset_25000.txt,25000,2,3366500,124703709,76710583,740250,125,309399781
python,linked,dataset_25000.txt,25000,3,3339125,122877500,76469500,727917,125,309399781
python,linked,dataset_25000.txt,25000,4,3353458,123405625,76865291,740875,125,309399781
python,linked,dataset_25000.txt,25000,5,3306333,122373542,80354958,1414292,125,309399781
python,linked,dataset_25000.txt,25000,6,6296125,137463500,77081209,725875,125,309399781
python,linked,dataset_25000.txt,25000,7,5322334,123320000,76591916,718000,125,309399781
python,linked,dataset_25000.txt,25000,8,3386500,123340583,76444875,749083,125,309399781
python,linked,dataset_25000.txt,25000,9,3385417,122928334,77980792,785542,125,309399781
