language,structure,n,peak_memory_bytes,instructions_retired,cycles_elapsed
cpp,array,1000,999760,15935561,6403667
python,array,1000,12075464,343841769,149455304
java,array,1000,24855392,598974649,271311238
cpp,linked,1000,1048912,20448182,6978863
python,linked,1000,12222920,402357396,139681190
java,linked,1000,25035568,493217688,206380513
cpp,hash,1000,1065296,20200334,6097557
python,hash,1000,12091848,281777829,115547926
java,hash,1000,26117008,474288061,203687485
cpp,array,5000,1196368,46656122,11369695
python,array,5000,12779952,699602777,181573179
java,array,5000,28164960,947511912,347242018
cpp,linked,5000,1376616,73995659,27190351
python,linked,5000,13828576,2453797147,536290677
java,linked,5000,29262688,892482096,345448409
cpp,hash,5000,1425768,53019698,12166688
python,hash,5000,12943816,311137960,126669995
java,hash,5000,30688096,793043791,334275156
cpp,array,10000,1343848,134033016,26754229
python,array,10000,13140424,1905689405,361076868
java,array,10000,31949616,1419355602,472298858
cpp,linked,10000,1655144,186202334,90406794
python,linked,10000,15122864,8509941221,1699313413
java,linked,10000,32457592,1513862790,583786082
cpp,hash,10000,1720680,93887139,19612704
python,hash,10000,13697480,345015747,130522104
java,hash,10000,33817464,1069328234,411041317
cpp,array,25000,1868136,687497468,125067488
python,array,25000,14746056,9927495108,1534502205
java,array,25000,34276192,2986838658,820288026
cpp,linked,25000,2523496,799399130,467417478
python,linked,25000,17269216,47842743483,9062712797
java,linked,25000,35931000,3148739977,1259645076
cpp,hash,25000,2769256,219664109,43528010
python,hash,25000,17039816,463948045,155068404
java,hash,25000,48300920,1742130584,622389594
