language,structure,dataset,n,repeat,insert_ns,search_ns,delete_ns,traverse_ns,hits,checksum
cpp,array,dataset_10000.txt,10000,0,959,225541,166167,375,50,49520689
cpp,array,dataset_10000.txt,10000,1,542,225541,166042,375,50,49520689
cpp,array,dataset_10000.txt,10000,2,541,237542,166000,375,50,49520689
cpp,array,dataset_10000.txt,10000,3,583,237833,165959,375,50,49520689
cpp,array,dataset_10000.txt,10000,4,541,225333,166083,375,50,49520689
cpp,array,dataset_10000.txt,10000,5,541,225458,165958,375,50,49520689
cpp,array,dataset_10000.txt,10000,6,541,244875,169167,375,50,49520689
cpp,array,dataset_10000.txt,10000,7,667,225333,169500,375,50,49520689
cpp,array,dataset_10000.txt,10000,8,584,231666,170625,375,50,49520689
cpp,array,dataset_10000.txt,10000,9,583,231667,170916,375,50,49520689
