language,structure,dataset,n,repeat,insert_ns,search_ns,delete_ns,traverse_ns,hits,checksum
java,array,dataset_25000.txt,25000,0,243583,1947958,1813125,116250,125,309332911
java,array,dataset_25000.txt,25000,1,278625,1929792,1798042,128041,125,309332911
java,array,dataset_25000.txt,25000,2,332584,1922833,1790541,102917,125,309332911
java,array,dataset_25000.txt,25000,3,240042,1937333,1793041,103792,125,309332911
java,array,dataset_25000.txt,25000,4,856458,2051417,1896833,103625,125,309332911
java,array,dataset_25000.txt,25000,5,252625,1930250,1782416,102459,125,309332911
java,array,dataset_25000.txt,25000,6,248709,1901875,1786917,101041,125,309332911
java,array,dataset_25000.txt,25000,7,51125,2151750,1751667,14875,125,309332911
java,array,dataset_25000.txt,25000,8,57250,2145167,1782459,14792,125,309332911
java,array,dataset_25000.txt,25000,9,59958,2168291,1752750,25750,125,309332911
