language,structure,dataset,n,repeat,insert_ns,search_ns,delete_ns,traverse_ns,hits,checksum
java,hash,dataset_10000.txt,10000,0,1247042,18917,29875,437125,50,49520689
java,hash,dataset_10000.txt,10000,1,186583,9417,27917,111625,50,49520689
java,hash,dataset_10000.txt,10000,2,153875,2500,8583,87500,50,49520689
java,hash,dataset_10000.txt,10000,3,704625,9750,13625,105292,50,49520689
java,hash,dataset_10000.txt,10000,4,137625,2500,3042,90250,50,49520689
java,hash,dataset_10000.txt,10000,5,133416,2167,3292,87625,50,49520689
java,hash,dataset_10000.txt,10000,6,141833,2167,2833,88042,50,49520689
java,hash,dataset_10000.txt,10000,7,695375,3500,4583,94250,50,49520689
java,hash,dataset_10000.txt,10000,8,185042,2750,3333,87792,50,49520689
java,hash,dataset_10000.txt,10000,9,185083,2583,4292,91042,50,49520689
