language,structure,dataset,n,repeat,insert_ns,search_ns,delete_ns,traverse_ns,hits,checksum
java,linked,dataset_10000.txt,10000,0,327666,1579458,943417,409667,50,49520689
java,linked,dataset_10000.txt,10000,1,187334,1501958,912125,81625,50,49520689
java,linked,dataset_10000.txt,10000,2,1163084,1605375,984250,82959,50,49520689
java,linked,dataset_10000.txt,10000,3,98583,1556625,959750,67875,50,49520689
java,linked,dataset_10000.txt,10000,4,89875,1553666,960958,68042,50,49520689
java,linked,dataset_10000.txt,10000,5,94166,1557959,964709,69625,50,49520689
java,linked,dataset_10000.txt,10000,6,97333,1540375,936833,91750,50,49520689
java,linked,dataset_10000.txt,10000,7,70417,1555833,957292,27166,50,49520689
java,linked,dataset_10000.txt,10000,8,123709,1644708,1017625,20542,50,49520689
java,linked,dataset_10000.txt,10000,9,115208,1557000,962291,19917,50,49520689
