language,structure,dataset,n,repeat,insert_ns,search_ns,delete_ns,traverse_ns,hits,checksum
python,array,dataset_25000.txt,25000,0,31250,14980333,15896667,81750,125,309332911
python,array,dataset_25000.txt,25000,1,20584,14895083,16212875,87041,125,309332911
python,array,dataset_25000.txt,25000,2,43709,14923167,16073875,83834,125,309332911
python,array,dataset_25000.txt,25000,3,43209,14976875,16977208,83958,125,309332911
python,array,dataset_25000.txt,25000,4,43250,15166417,16023333,81584,125,309332911
python,array,dataset_25000.txt,25000,5,16833,14904916,16021792,83875,125,309332911
python,array,dataset_25000.txt,25000,6,34584,14980750,16185083,83291,125,309332911
python,array,dataset_25000.txt,25000,7,42625,14889708,16047000,83458,125,309332911
python,array,dataset_25000.txt,25000,8,42959,14979166,16089959,85042,125,309332911
python,array,dataset_25000.txt,25000,9,35042,14897875,16035167,82917,125,309332911
