language,structure,dataset,n,repeat,insert_ns,search_ns,delete_ns,traverse_ns,hits,checksum
python,hash,dataset_5000.txt,5000,0,79333,2500,2125,20459,25,12372368
python,hash,dataset_5000.txt,5000,1,69667,2208,1875,20084,25,12372368
python,hash,dataset_5000.txt,5000,2,69500,2125,1917,20667,25,12372368
python,hash,dataset_5000.txt,5000,3,69875,2292,1875,21000,25,12372368
python,hash,dataset_5000.txt,5000,4,74416,2208,1916,20500,25,12372368
python,hash,dataset_5000.txt,5000,5,75000,2083,1834,20167,25,12372368
python,hash,dataset_5000.txt,5000,6,69542,2166,1875,20458,25,12372368
python,hash,dataset_5000.txt,5000,7,69334,2083,1875,20834,25,12372368
python,hash,dataset_5000.txt,5000,8,69167,2125,1875,20709,25,12372368
python,hash,dataset_5000.txt,5000,9,69250,2125,1917,20417,25,12372368
