language,structure,dataset,n,repeat,insert_ns,search_ns,delete_ns,traverse_ns,hits,checksum
python,linked,dataset_1000.txt,1000,0,101125,204292,140333,29125,5,494224
python,linked,dataset_1000.txt,1000,1,100667,200750,152333,28292,5,494224
python,linked,dataset_1000.txt,1000,2,112917,200000,142125,29334,5,494224
python,linked,dataset_1000.txt,1000,3,102459,204792,151125,28500,5,494224
python,linked,dataset_1000.txt,1000,4,99959,201000,147208,27750,5,494224
python,linked,dataset_1000.txt,1000,5,100833,220792,139708,27750,5,494224
python,linked,dataset_1000.txt,1000,6,100833,201917,140833,27875,5,494224
python,linked,dataset_1000.txt,1000,7,99958,209292,143333,27583,5,494224
python,linked,dataset_1000.txt,1000,8,100083,207667,140334,29750,5,494224
python,linked,dataset_1000.txt,1000,9,100125,200000,139708,30750,5,494224
