language,structure,dataset,n,repeat,insert_ns,search_ns,delete_ns,traverse_ns,hits,checksum
cpp,array,dataset_1000.txt,1000,0,625,4458,3458,167,5,494224
cpp,array,dataset_1000.txt,1000,1,166,4375,3416,125,5,494224
cpp,array,dataset_1000.txt,1000,2,167,4375,3375,167,5,494224
cpp,array,dataset_1000.txt,1000,3,167,4416,3417,125,5,494224
cpp,array,dataset_1000.txt,1000,4,166,4375,3416,167,5,494224
cpp,array,dataset_1000.txt,1000,5,167,4375,3417,125,5,494224
cpp,array,dataset_1000.txt,1000,6,167,4417,3458,125,5,494224
cpp,array,dataset_1000.txt,1000,7,167,4417,3417,125,5,494224
cpp,array,dataset_1000.txt,1000,8,167,4375,3458,125,5,494224
cpp,array,dataset_1000.txt,1000,9,166,4375,3417,125,5,494224
cpp,array,dataset_5000.txt,5000,0,542,52667,43625,208,25,12372368
cpp,array,dataset_5000.txt,5000,1,250,52541,43584,208,25,12372368
cpp,array,dataset_5000.txt,5000,2,250,52541,43709,208,25,12372368
cpp,array,dataset_5000.txt,5000,3,250,52500,43541,167,25,12372368
cpp,array,dataset_5000.txt,5000,4,250,52500,43458,167,25,12372368
cpp,array,dataset_5000.txt,5000,5,250,52625,43625,167,25,12372368
cpp,array,dataset_5000.txt,5000,6,250,52625,43500,208,25,12372368
cpp,array,dataset_5000.txt,5000,7,250,52708,43542,166,25,12372368
cpp,array,dataset_5000.txt,5000,8,250,52625,43708,167,25,12372368
cpp,array,dataset_5000.txt,5000,9,250,52667,43625,208,25,12372368
cpp,array,dataset_10000.txt,10000,0,959,225541,166167,375,50,49520689
cpp,array,dataset_10000.txt,10000,1,542,225541,166042,375,50,49520689
cpp,array,dataset_10000.txt,10000,2,541,237542,166000,375,50,49520689
cpp,array,dataset_10000.txt,10000,3,583,237833,165959,375,50,49520689
cpp,array,dataset_10000.txt,10000,4,541,225333,166083,375,50,49520689
cpp,array,dataset_10000.txt,10000,5,541,225458,165958,375,50,49520689
cpp,array,dataset_10000.txt,10000,6,541,244875,169167,375,50,49520689
cpp,array,dataset_10000.txt,10000,7,667,225333,169500,375,50,49520689
cpp,array,dataset_10000.txt,10000,8,584,231666,170625,375,50,49520689
cpp,array,dataset_10000.txt,10000,9,583,231667,170916,375,50,49520689
cpp,array,dataset_25000.txt,25000,0,1917,1391166,1105959,958,125,309332911
cpp,array,dataset_25000.txt,25000,1,2042,1382500,1102750,959,125,309332911
cpp,array,dataset_25000.txt,25000,2,1958,1382458,1103000,916,125,309332911
cpp,array,dataset_25000.txt,25000,3,1917,1386166,1102667,916,125,309332911
cpp,array,dataset_25000.txt,25000,4,1916,1389542,1114292,917,125,309332911
cpp,array,dataset_25000.txt,25000,5,2375,1402666,1113833,917,125,309332911
cpp,array,dataset_25000.txt,25000,6,2458,1385792,1106000,917,125,309332911
cpp,array,dataset_25000.txt,25000,7,1958,1408333,1102834,916,125,309332911
cpp,array,dataset_25000.txt,25000,8,2125,1384833,1123000,916,125,309332911
cpp,array,dataset_25000.txt,25000,9,2125,1382959,1102834,916,125,309332911
cpp,linked,dataset_1000.txt,1000,0,11375,7000,4667,875,5,494224
cpp,linked,dataset_1000.txt,1000,1,11291,7292,4875,750,5,494224
cpp,linked,dataset_1000.txt,1000,2,11250,7292,4750,875,5,494224
cpp,linked,dataset_1000.txt,1000,3,11209,7250,4875,1042,5,494224
cpp,linked,dataset_1000.txt,1000,4,11333,7292,4791,833,5,494224
cpp,linked,dataset_1000.txt,1000,5,11208,7208,4333,917,5,494224
cpp,linked,dataset_1000.txt,1000,6,11209,7291,4875,917,5,494224
cpp,linked,dataset_1000.txt,1000,7,11291,6834,4250,959,5,494224
cpp,linked,dataset_1000.txt,1000,8,11250,7291,4625,917,5,494224
cpp,linked,dataset_1000.txt,1000,9,11250,6542,4875,916,5,494224
cpp,linked,dataset_5000.txt,5000,0,71708,229000,128375,6292,25,12372368
cpp,linked,dataset_5000.txt,5000,1,56083,239375,133417,4750,25,12372368
cpp,linked,dataset_5000.txt,5000,2,56084,194709,122334,4750,25,12372368
cpp,linked,dataset_5000.txt,5000,3,56042,237541,127167,6375,25,12372368
cpp,linked,dataset_5000.txt,5000,4,56042,180334,125416,6833,25,12372368
cpp,linked,dataset_5000.txt,5000,5,56083,188166,124959,5000,25,12372368
cpp,linked,dataset_5000.txt,5000,6,56000,192041,159959,5667,25,12372368
cpp,linked,dataset_5000.txt,5000,7,56000,238334,126500,4875,25,12372368
cpp,linked,dataset_5000.txt,5000,8,56042,187167,129292,6875,25,12372368
cpp,linked,dataset_5000.txt,5000,9,56125,209125,126792,4917,25,12372368
cpp,linked,dataset_10000.txt,10000,0,118208,1075833,684083,14375,50,49520689
cpp,linked,dataset_10000.txt,10000,1,116000,940042,696875,11583,50,49520689
cpp,linked,dataset_10000.txt,10000,2,115792,923041,658834,12458,50,49520689
cpp,linked,dataset_10000.txt,10000,3,123083,1127125,651167,19291,50,49520689
cpp,linked,dataset_10000.txt,10000,4,159250,1136750,636916,12792,50,49520689
cpp,linked,dataset_10000.txt,10000,5,123042,972458,673042,12666,50,49520689
cpp,linked,dataset_10000.txt,10000,6,118667,931166,567417,11541,50,49520689
cpp,linked,dataset_10000.txt,10000,7,115875,946792,626709,12625,50,49520689
cpp,linked,dataset_10000.txt,10000,8,121291,1058709,567167,11333,50,49520689
cpp,linked,dataset_10000.txt,10000,9,115458,914833,566917,11500,50,49520689
cpp,linked,dataset_25000.txt,25000,0,289416,5729459,3793625,29208,125,309332911
cpp,linked,dataset_25000.txt,25000,1,290000,6312417,3889750,31500,125,309332911
cpp,linked,dataset_25000.txt,25000,2,289167,6462958,3985167,38875,125,309332911
cpp,linked,dataset_25000.txt,25000,3,289416,5902208,3903334,30000,125,309332911
cpp,linked,dataset_25000.txt,25000,4,289334,6068709,3877917,29208,125,309332911
cpp,linked,dataset_25000.txt,25000,5,289625,5680625,3822916,29334,125,309332911
cpp,linked,dataset_25000.txt,25000,6,289250,6166875,3822708,29709,125,309332911
cpp,linked,dataset_25000.txt,25000,7,297042,5507625,3762875,28542,125,309332911
cpp,linked,dataset_25000.txt,25000,8,300333,5975208,3809958,28542,125,309332911
cpp,linked,dataset_25000.txt,25000,9,289625,6037917,3806375,29125,125,309332911
cpp,hash,dataset_1000.txt,1000,0,14083,42,250,875,5,494224
cpp,hash,dataset_1000.txt,1000,1,13959,41,209,875,5,494224
cpp,hash,dataset_1000.txt,1000,2,14000,0,167,875,5,494224
cpp,hash,dataset_1000.txt,1000,3,13916,0,208,875,5,494224
cpp,hash,dataset_1000.txt,1000,4,13917,0,167,875,5,494224
cpp,hash,dataset_1000.txt,1000,5,13875,0,209,875,5,494224
cpp,hash,dataset_1000.txt,1000,6,13917,0,208,833,5,494224
cpp,hash,dataset_1000.txt,1000,7,13916,0,208,833,5,494224
cpp,hash,dataset_1000.txt,1000,8,13916,42,208,834,5,494224
cpp,hash,dataset_1000.txt,1000,9,13917,41,167,875,5,494224
cpp,hash,dataset_5000.txt,5000,0,69667,167,959,5709,25,12372368
cpp,hash,dataset_5000.txt,5000,1,69417,167,875,5708,25,12372368
cpp,hash,dataset_5000.txt,5000,2,107250,167,958,6292,25,12372368
cpp,hash,dataset_5000.txt,5000,3,73209,166,1000,6125,25,12372368
cpp,hash,dataset_5000.txt,5000,4,73250,167,916,6083,25,12372368
cpp,hash,dataset_5000.txt,5000,5,77042,166,959,6208,25,12372368
cpp,hash,dataset_5000.txt,5000,6,73292,166,1000,6125,25,12372368
cpp,hash,dataset_5000.txt,5000,7,73417,125,959,6084,25,12372368
cpp,hash,dataset_5000.txt,5000,8,70250,125,917,5792,25,12372368
cpp,hash,dataset_5000.txt,5000,9,69458,167,917,5958,25,12372368
cpp,hash,dataset_10000.txt,10000,0,167458,291,2042,12333,50,49520689
cpp,hash,dataset_10000.txt,10000,1,142625,292,1958,12250,50,49520689
cpp,hash,dataset_10000.txt,10000,2,142500,292,1875,12417,50,49520689
cpp,hash,dataset_10000.txt,10000,3,142458,292,1917,12125,50,49520689
cpp,hash,dataset_10000.txt,10000,4,142375,292,1916,12125,50,49520689
cpp,hash,dataset_10000.txt,10000,5,142458,292,1916,12125,50,49520689
cpp,hash,dataset_10000.txt,10000,6,142292,291,1917,12208,50,49520689
cpp,hash,dataset_10000.txt,10000,7,142458,250,1917,12125,50,49520689
cpp,hash,dataset_10000.txt,10000,8,155292,292,1916,12000,50,49520689
cpp,hash,dataset_10000.txt,10000,9,146042,292,1917,12292,50,49520689
cpp,hash,dataset_25000.txt,25000,0,367917,833,5333,29834,125,309332911
cpp,hash,dataset_25000.txt,25000,1,357334,833,5000,28875,125,309332911
cpp,hash,dataset_25000.txt,25000,2,368250,750,5084,31125,125,309332911
