language,structure,dataset,n,repeat,insert_ns,search_ns,delete_ns,traverse_ns,hits,checksum
cpp,array,dataset_10000.txt,10000,0,4300,230100,168900,4400,50,49509981
cpp,array,dataset_10000.txt,10000,1,19200,209200,154800,3800,50,49509981
cpp,array,dataset_10000.txt,10000,2,18000,191700,148800,3800,50,49509981
cpp,array,dataset_10000.txt,10000,3,14800,171300,129600,3300,50,49509981
cpp,array,dataset_10000.txt,10000,4,13700,160700,126800,3200,50,49509981
cpp,array,dataset_10000.txt,10000,5,13500,161000,112100,2800,50,49509981
cpp,array,dataset_10000.txt,10000,6,14100,138400,99600,2600,50,49509981
cpp,array,dataset_10000.txt,10000,7,13300,127800,116700,3200,50,49509981
cpp,array,dataset_10000.txt,10000,8,12400,143500,94600,2500,50,49509981
cpp,array,dataset_10000.txt,10000,9,10100,121500,82000,2000,50,49509981
cpp,array,dataset_1000.txt,1000,0,600,1300,1200,200,5,494272
cpp,array,dataset_1000.txt,1000,1,200,1100,1100,200,5,494272
cpp,array,dataset_1000.txt,1000,2,100,1200,1200,300,5,494272
cpp,array,dataset_1000.txt,1000,3,100,1200,1200,300,5,494272
cpp,array,dataset_1000.txt,1000,4,100,1100,1100,200,5,494272
cpp,array,dataset_1000.txt,1000,5,100,1100,1000,300,5,494272
cpp,array,dataset_1000.txt,1000,6,100,1100,1100,200,5,494272
cpp,array,dataset_1000.txt,1000,7,100,1200,1100,200,5,494272
cpp,array,dataset_1000.txt,1000,8,100,1200,1000,200,5,494272
cpp,array,dataset_1000.txt,1000,9,100,1100,1000,200,5,494272
cpp,linked,dataset_5000.txt,5000,0,114100,328500,255000,9300,25,12368708
cpp,linked,dataset_5000.txt,5000,1,102900,436600,297200,10000,25,12368708
cpp,linked,dataset_5000.txt,5000,2,136900,354900,278000,9700,25,12368708
cpp,linked,dataset_5000.txt,5000,3,311100,396300,275400,9800,25,12368708
cpp,linked,dataset_5000.txt,5000,4,121900,355000,273200,9600,25,12368708
cpp,linked,dataset_5000.txt,5000,5,111400,324500,257900,9100,25,12368708
cpp,linked,dataset_5000.txt,5000,6,146100,345800,265400,9400,25,12368708
cpp,linked,dataset_5000.txt,5000,7,112900,706600,580600,20000,25,12368708
cpp,linked,dataset_5000.txt,5000,8,120600,345100,271600,9700,25,12368708
cpp,linked,dataset_5000.txt,5000,9,110700,330500,259700,9300,25,12368708
python,array,dataset_25000.txt,25000,0,31000,15445500,20111500,62200,125,309399781
python,array,dataset_25000.txt,25000,1,31600,17083000,19740900,67000,125,309399781
python,array,dataset_25000.txt,25000,2,33300,17321200,18596700,57100,125,309399781
python,array,dataset_25000.txt,25000,3,24600,16790200,19345200,220300,125,309399781
python,array,dataset_25000.txt,25000,4,27500,16820600,18846500,52000,125,309399781
python,array,dataset_25000.txt,25000,5,22200,15346000,19496100,60600,125,309399781
python,array,dataset_25000.txt,25000,6,23100,17030700,19374100,61600,125,309399781
python,array,dataset_25000.txt,25000,7,24800,15529600,18705200,64700,125,309399781
python,array,dataset_25000.txt,25000,8,25700,15307000,19191900,61200,125,309399781
python,array,dataset_25000.txt,25000,9,24300,15473600,18859900,89000,125,309399781
cpp,linked,dataset_25000.txt,25000,0,589500,9367800,5908500,48000,125,309399781
cpp,linked,dataset_25000.txt,25000,1,592200,9491400,6496000,48100,125,309399781
cpp,linked,dataset_25000.txt,25000,2,583000,9340000,5944600,47000,125,309399781
cpp,linked,dataset_25000.txt,25000,3,590200,9462600,7072800,51400,125,309399781
cpp,linked,dataset_25000.txt,25000,4,598700,10525700,6863800,52000,125,309399781
cpp,linked,dataset_25000.txt,25000,5,718900,10173100,6496800,58200,125,309399781
